index,title,release_date,vote_average
7075,Bridget Jones: The Edge of Reason,2004-11-10,6.227
7076,Nick of Time,1995-11-22,6.227
7077,2 Days in Paris,2007-02-09,6.222
7078,Veronica,2017-08-25,6.226
7079,Dark Blue,2002-12-14,6.2
7080,Entrapment,1999-04-29,6.226
7081,Elizabeth Harvest,2018-08-10,6.225
7082,The Survivalist,2015-04-15,6.2
7083,This Is the End,2013-06-12,6.225
7084,The Thing,2011-10-12,6.225
7085,The Switch,2010-05-11,6.225
7086,Phantasm II,1988-07-08,6.2
7087,Friday the 13th Part VI: Jason Lives,1986-08-01,6.225
7088,Mean Machine,2001-12-26,6.2
7089,Bird on a Wire,1990-05-18,6.225
7090,Gundala,2019-08-29,6.2
7091,Roommates Wanted,2016-04-20,6.224
7092,Beckett,2021-08-04,6.2
7093,The Limehouse Golem,2016-10-18,6.223
7094,Mile 22,2018-08-16,6.223
7095,The Other Woman,2010-10-28,6.2
7096,Rare Exports: A Christmas Tale,2010-12-03,6.223
7097,Monsters,2010-06-18,6.223
7098,Needful Things,1993-08-27,6.2
7099,Deep Impact,1998-05-08,6.223
7100,There's No Place Like Home,2018-02-14,6.222
7101,The Sea of Trees,2016-04-27,6.2
7102,Fright Night,2011-08-18,6.222
7103,Legend,1985-08-28,6.2
7104,The Good Girl,2002-01-12,6.2
7105,Death Wish 3,1985-11-01,6.2
7106,Death Warrant,1990-09-14,6.2
7107,Spartan,2004-03-12,6.221
7108,Romy and Michele's High School Reunion,1997-04-25,6.2
7109,Just Cause,1995-02-17,6.2
7110,The Blob,1958-09-10,6.221
7111,The Man with Two Brains,1983-06-10,6.2
7112,The Big White,2005-10-27,6.2
7113,Wolf Creek,2005-09-16,6.2
7114,Monster-in-Law,2005-05-13,6.22
7115,Blown Away,1994-07-01,6.2
7116,The Instigators,2024-08-02,6.2
7117,Sextuplets,2019-08-16,6.2
7118,Knight and Day,2010-06-15,6.219
7119,W.,2008-10-17,6.219
7120,Rock of Ages,2012-06-13,6.218
7121,Taking Woodstock,2009-08-26,6.218
7122,Cadet Kelly,2002-03-07,6.218
7123,The Incredible Hulk,2008-06-12,6.218
7124,Night at the Museum: Secret of the Tomb,2014-12-17,6.217
7125,The Land Before Time V: The Mysterious Island,1997-09-12,6.217
7126,Monsters vs Aliens,2009-03-19,6.217
7127,The Jewel of the Nile,1985-08-01,6.218
7128,Halloween,2007-08-31,6.217
7129,V/H/S/2,2013-06-06,6.216
7130,Force 10 from Navarone,1978-08-16,6.216
7131,Charlotte's Web,2006-12-07,6.2
7132,Waterworld,1995-07-28,6.215
7133,Mortal Engines,2018-11-27,6.215
7134,Jigsaw,2017-10-25,6.215
7135,Kidnap,2017-08-03,6.2
7136,Knowing,2009-03-19,6.215
7137,P2,2007-11-09,6.2
7138,American Wedding,2003-08-01,6.215
7139,Songbird,2020-12-10,6.2
7140,Blow the Man Down,2019-04-26,6.214
7141,"Jeff, Who Lives at Home",2012-03-16,6.214
7142,Sukiyaki Western Django,2007-09-15,6.2
7143,Mad Max Beyond Thunderdome,1985-06-29,6.214
7144,Kimi,2022-02-10,6.213
7145,Diary of a Wimpy Kid,2021-12-02,6.204
7146,6 Bullets,2012-09-11,6.2
7147,Paycheck,2003-12-25,6.2
7148,For Love or Money,1993-10-01,6.2
7149,Isn't It Romantic,2019-02-13,6.211
7150,Percy Jackson & the Olympians: The Lightning Thief,2010-02-01,6.211
7151,Wimbledon,2004-09-13,6.211
7152,Dante's Peak,1997-02-07,6.211
7153,The Hole,2001-04-20,6.211
7154,Alice and the Mayor,2019-05-18,6.203
7155,Black Butterfly,2017-05-26,6.21
7156,The Inbetweeners Movie,2011-08-19,6.2
7157,(T)Raumschiff Surprise - Periode 1,2004-07-14,6.208
7158,The Hangover Part III,2013-05-23,6.209
7159,Transformers: Dark of the Moon,2011-06-28,6.208
7160,The Yards,2000-04-27,6.209
7161,London Has Fallen,2016-03-02,6.2
7162,Excision,2012-09-12,6.2
7163,Fever Pitch,2005-04-06,6.208
7164,The Expendables 3,2014-08-07,6.207
7165,Unlawful Entry,1992-06-26,6.2
7166,Eye for an Eye,1996-01-12,6.207
7167,Return to the Blue Lagoon,1991-08-02,6.207
7168,One Missed Call,2003-11-03,6.207
7169,Screamers,1995-09-08,6.2
7170,Night of the Comet,1984-11-16,6.2
7171,Fun with Dick and Jane,2005-12-21,6.206
7172,The Invention of Lying,2009-10-02,6.205
7173,Sabrina,1995-12-15,6.205
7174,The Mothman Prophecies,2002-01-25,6.206
7175,Aftermath,2021-08-04,6.2
7176,A Babysitter's Guide to Monster Hunting,2020-10-14,6.2
7177,Criminal,2016-04-07,6.2
7178,Zambezia,2012-06-05,6.204
7179,Melinda and Melinda,2004-12-22,6.2
7180,The Twilight Saga: Eclipse,2010-06-23,6.203
7181,Gigi,1958-05-15,6.2
7182,The Catholic School,2021-10-07,6.202
7183,The Dark and the Wicked,2020-04-16,6.202
7184,Prospect,2018-10-02,6.2
7185,Ashby,2015-04-19,6.202
7186,The Land Before Time IV: Journey Through the Mists,1996-11-01,6.202
7187,Road Trip,2000-05-19,6.202
7188,Werewolves,2024-12-04,6.2
7189,Coup de Chance,2023-09-15,6.201
7190,Happy Feet,2006-11-16,6.201
7191,What Men Want,2019-02-08,6.2
7192,Naples in Veils,2017-12-28,6.2
7193,Death Race: Beyond Anarchy,2018-10-02,6.2
7194,Los Bandoleros,2009-07-28,6.2
7195,Short Circuit 2,1988-07-06,6.2
7196,Zoolander,2001-09-28,6.2
7197,The Immature,2011-01-21,6.2
7198,The Rugrats Movie,1998-11-20,6.2
7199,Just Friends,2005-11-23,6.199
7200,Blue Thunder,1983-02-05,6.2
7201,The Dictator,2012-05-15,6.198
7202,Kill List,2011-09-02,6.198
7203,3 Men and a Baby,1987-11-27,6.2
7204,Asterix Conquers America,1994-09-29,6.199
7205,Run Fatboy Run,2007-09-06,6.198
7206,Reign of Fire,2002-07-09,6.198
7207,Silent Night,2023-11-30,6.197
7208,American Pie Presents: Girls' Rules,2020-10-06,6.2
7209,He Never Died,2015-12-18,6.197
7210,Bodies Bodies Bodies,2022-08-05,6.196
7211,The Crew,2016-05-04,6.2
7212,Krampus,2015-11-26,6.198
7213,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014-10-08,6.196
7214,Here Comes the Boom,2012-10-10,6.196
7215,The Twilight Saga: Breaking Dawn - Part 1,2011-11-16,6.196
7216,Lake Mungo,2009-07-30,6.196
7217,Spies Like Us,1985-12-06,6.2
7218,Jamon Jamon,1992-09-03,6.2
7219,Final Fantasy: The Spirits Within,2001-07-02,6.196
7220,Rambo III,1988-05-24,6.196
7221,Last Man Down,2021-03-30,6.195
7222,Teen Wolf,1985-08-23,6.2
7223,The Good Neighbor,2016-09-16,6.194
7224,Sucker Punch,2011-03-24,6.194
7225,Belle's Magical World,1998-02-16,6.2
7226,Transformers: Revenge of the Fallen,2009-06-19,6.194
7227,In Her Shoes,2005-10-07,6.194
7228,Land of the Dead,2005-06-18,6.193
7229,Get Smart,2008-06-19,6.2
7230,The Prince & Me,2004-03-28,6.193
7231,Senseless,1998-02-20,6.2
7232,Mandy,2018-09-13,6.191
7233,Mark Felt: The Man Who Brought Down the White House,2017-09-28,6.2
7234,The Hustle,2019-05-09,6.19
7235,The Outsider,2018-03-09,6.2
7236,The Joneses,2010-04-16,6.2
7237,Braven,2018-02-01,6.2
7238,Le Chef,2012-03-07,6.2
7239,Planes: Fire & Rescue,2014-07-17,6.188
7240,House of 1000 Corpses,2003-04-11,6.185
7241,Under the Riccione Sun,2020-07-01,6.2
7242,Neighbors,2014-05-08,6.187
7243,Red Lights,2012-03-02,6.187
7244,Throw Momma from the Train,1987-12-11,6.187
7245,Accident Man,2018-02-06,6.186
7246,Death Wish,2018-03-02,6.186
7247,Beauty and the Beast,2014-02-12,6.2
7248,Maps to the Stars,2014-05-21,6.2
7249,47 Ronin,2013-12-06,6.187
7250,Desierto,2015-04-12,6.2
7251,The Stranger,2022-10-06,6.184
7252,The Coldest Game,2019-11-08,6.183
7253,The Kid Who Would Be King,2019-01-16,6.2
7254,Risen,2016-02-18,6.184
7255,The Interview,2014-12-25,6.2
7256,StreetDance 2,2012-03-30,6.2
7257,Dream House,2011-09-29,6.184
7258,Avalon High,2011-01-28,6.2
7259,Bad Lieutenant: Port of Call - New Orleans,2009-09-11,6.184
7260,The Tourist,2010-12-08,6.183
7261,National Lampoon's European Vacation,1985-07-25,6.184
7262,D2: The Mighty Ducks,1994-03-25,6.183
7263,Elizabethtown,2005-10-14,6.2
7264,Dune,1984-12-14,6.184
7265,Friday the 13th Part 2,1981-05-01,6.2
7266,My Son,2021-09-23,6.181
7267,Stretch,2014-10-14,6.181
7268,Horrible Bosses 2,2014-11-12,6.181
7269,Billy Madison,1995-02-10,6.181
7270,Jersey Girl,2004-03-25,6.2
7271,Untraceable,2008-01-22,6.2
7272,Irish Wish,2024-03-14,6.2
7273,A Lonely Place to Die,2011-04-09,6.2
7274,I Am Number Four,2011-02-18,6.181
7275,The Edge of Love,2008-06-20,6.2
7276,Blood Father,2016-08-11,6.2
7277,Happy Feet Two,2011-11-17,6.178
7278,This Means War,2012-02-14,6.178
7279,Snake Eyes,1998-08-07,6.18
7280,New York Minute,2004-05-07,6.2
7281,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991-03-22,6.177
7282,Pink Flamingos,1972-03-17,6.2
7283,Happy End,2017-06-21,6.176
7284,American Pastoral,2016-10-20,6.2
7285,"Tomorrow, When the War Began",2010-08-08,6.176
7286,Halloween 4: The Return of Michael Myers,1988-10-21,6.176
7287,The Producers,2005-12-25,6.2
7288,Blood Work,2002-08-09,6.176
7289,Idle Hands,1999-04-30,6.2
7290,Radio Rebel,2012-06-09,6.2
7291,The Devil's Own,1997-03-13,6.175
7292,Prey,2024-03-15,6.174
7293,Gold,2022-01-13,6.2
7294,Police Story: Lockdown,2013-12-24,6.2
7295,White Bird in a Blizzard,2014-08-14,6.174
7296,Blitz,2011-05-20,6.174
7297,The Company You Keep,2012-12-20,6.173
7298,Passport to Paris,1999-11-09,6.2
7299,Double Impact,1991-07-31,6.173
7300,Salem's Lot,2024-10-03,6.172
7301,Hellraiser,2022-09-28,6.172
7302,Walking with Dinosaurs,2013-12-18,6.171
7303,Never Let Go,2024-09-18,6.18
7304,Devil's Knot,2013-05-09,6.171
7305,Hummingbird,2013-05-07,6.171
7306,Turkish for Beginners,2012-03-14,6.2
7307,Assault on Precinct 13,2005-01-19,6.17
7308,Wendy Wu: Homecoming Warrior,2006-06-16,6.2
7309,Rookie of the Year,1993-07-07,6.2
7310,The Land Before Time III: The Time of the Great Giving,1995-03-16,6.2
7311,"Yours, Mine & Ours",2005-11-23,6.2
7312,The Art of the Steal,2013-09-20,6.168
7313,In the Shadow of the Moon,2019-09-27,6.168
7314,Churchill,2017-05-25,6.167
7315,Antz,1998-10-02,6.167
7316,Free Willy,1993-07-16,6.167
7317,I Kill Giants,2017-11-15,6.166
7318,On Chesil Beach,2018-01-19,6.2
7319,A Bigger Splash,2015-11-26,6.2
7320,Magic Mike XXL,2015-07-01,6.2
7321,Moonraker,1979-06-26,6.166
7322,First Daughter,2004-09-24,6.165
7323,Bowfinger,1999-08-12,6.165
7324,The Decline,2020-02-27,6.2
7325,Welcome Mr. President!,2013-03-21,6.2
7326,Terminator 3: Rise of the Machines,2003-07-02,6.164
7327,F,2010-09-07,6.163
7328,Feast,2005-10-14,6.163
7329,Shallow Hal,2001-11-01,6.163
7330,Deep Rising,1998-01-30,6.2
7331,The Babysitter,2017-10-13,6.162
7332,Tau,2018-06-29,6.162
7333,Chinese Zodiac,2012-12-20,6.162
7334,Magic Mike,2012-06-28,6.2
7335,The Haunting in Connecticut,2009-03-27,6.162
7336,The Hunted,2003-03-11,6.2
7337,The Blue Lagoon,1980-07-05,6.162
7338,The Hummingbird Project,2019-03-15,6.161
7339,Dead Man Down,2013-03-08,6.161
7340,Saw V,2008-10-23,6.16
7341,Cheaper by the Dozen 2,2005-12-21,6.2
7342,Otherhood,2019-08-13,6.2
7343,The Empty Man,2020-10-22,6.2
7344,Escort in Love,2011-03-18,6.2
7345,Red's Dream,1987-07-10,6.159
7346,House,1985-12-06,6.159
7347,S.W.A.T.,2003-08-08,6.2
7348,Pride and Prejudice and Zombies,2016-02-04,6.158
7349,Youth in Revolt,2009-09-11,6.2
7350,Never Been Kissed,1999-04-09,6.2
7351,Alien Resurrection,1997-11-12,6.158
7352,Rising Sun,1993-07-30,6.2
7353,Saw IV,2007-10-25,6.159
7354,Tales from the Darkside: The Movie,1990-05-03,6.157
7355,Day Watch,2006-01-01,6.2
7356,The Rules of Attraction,2002-10-11,6.2
7357,Conquest of the Planet of the Apes,1972-06-29,6.157
7358,Wakefield,2017-05-19,6.2
7359,Everything Must Go,2011-05-13,6.156
7360,Heavyweights,1995-02-17,6.155
7361,Fierce Creatures,1997-01-23,6.161
7362,St. Elmo's Fire,1985-06-28,6.2
7363,Fritz the Cat,1972-04-12,6.155
7364,The Hills Have Eyes,1977-07-22,6.155
7365,Tightrope,1984-08-17,6.2
7366,After the Sunset,2004-11-12,6.2
7367,The Inbetweeners 2,2014-08-06,6.2
7368,Sniper,1993-01-29,6.154
7369,Femme Fatale,2002-04-30,6.2
7370,Bright,2017-12-22,6.153
7371,Alien: Covenant,2017-05-09,6.153
7372,Varsity Blues,1999-01-15,6.153
7373,Just My Luck,2006-05-12,6.2
7374,Trapped,2002-09-20,6.153
7375,The Mermaid: Lake of the Dead,2018-07-12,6.152
7376,The Unknown Girl,2016-10-05,6.152
7377,Paper Towns,2015-06-18,6.2
7378,Arcadian,2024-04-12,6.144
7379,Ultras,2020-03-09,6.151
7380,The Omega Man,1971-08-01,6.2
7381,Anything Else,2003-08-27,6.2
7382,28 Days,2000-04-06,6.2
7383,Dick Tracy,1990-04-05,6.151
7384,Jumper,2008-02-13,6.151
7385,Open Season,2006-09-27,6.151
7386,Blacklight,2022-02-10,6.2
7387,Early Man,2018-01-26,6.15
7388,Prince Avalanche,2013-02-13,6.15
7389,The Hard Way,1991-03-08,6.15
7390,Leprechaun Returns,2018-12-11,6.1
7391,The Change-Up,2011-08-05,6.149
7392,Scooby-Doo! Curse of the Lake Monster,2010-10-16,6.149
7393,Orca,1977-07-22,6.1
7394,The Weather Man,2005-10-20,6.1
7395,Jurassic Park III,2001-07-18,6.149
7396,The Union,2024-08-15,6.1
7397,Moonwalkers,2015-03-14,6.148
7398,That Awkward Moment,2014-01-29,6.1
7399,A Haunted House 2,2014-04-17,6.1
7400,My Life in Ruins,2009-06-05,6.1
7401,Cujo,1983-08-10,6.148
7402,Anger Management,2003-04-11,6.148
7403,The Wrong Missy,2020-05-13,6.147
7404,Put Grandma in the Freezer,2018-03-15,6.1
7405,The Outcasts,2017-04-14,6.147
7406,Journey 2: The Mysterious Island,2012-01-19,6.147
7407,Our Idiot Brother,2011-08-26,6.1
7408,Christmas with the Kranks,2004-11-24,6.147
7409,Bedtime Stories,2008-12-24,6.147
7410,Traffik,2018-04-20,6.146
7411,Melody Time,1948-05-27,6.1
7412,The Cannonball Run,1981-06-19,6.146
7413,The Craft: Legacy,2020-10-28,6.145
7414,The End?,2017-08-14,6.1
7415,The Belko Experiment,2016-03-17,6.1
7416,Body Bags,1993-08-08,6.1
7417,Fanboys,2009-02-06,6.145
7418,Frontier(s),2007-07-01,6.1
7419,Splinter,2008-10-31,6.145
7420,The Quest,1996-04-19,6.145
7421,American Gigolo,1980-02-01,6.1
7422,Addicted to Love,1997-05-23,6.145
7423,7500,2019-12-26,6.1
7424,Batman and Harley Quinn,2017-08-14,6.144
7425,Airheads,1994-08-05,6.1
7426,Transporter 3,2008-11-26,6.144
7427,The Amityville Horror,2005-04-14,6.1
7428,Body Snatchers,1993-06-09,6.1
7429,Night School,2018-09-27,6.143
7430,The Back-Up Plan,2010-04-23,6.143
7431,Miracle at St. Anna,2008-09-15,6.143
7432,We're No Angels,1989-06-02,6.1
7433,The Girl in the Spider's Web,2018-10-25,6.142
7434,Bug,2007-02-21,6.142
7435,K-9,1989-04-28,6.141
7436,Flight Risk,2025-01-22,6.14
7437,Ironclad,2011-03-03,6.1
7438,Night at the Museum: Battle of the Smithsonian,2009-05-20,6.141
7439,Jeepers Creepers 2,2003-08-08,6.1
7440,Willard,2003-03-14,6.141
7441,Mood Indigo,2013-01-10,6.14
7442,Murder by Numbers,2002-04-19,6.14
7443,The Texas Chainsaw Massacre: The Beginning,2006-10-05,6.139
7444,Beneath the Planet of the Apes,1970-04-23,6.14
7445,Return to Sender,2015-05-31,6.1
7446,Anchorman 2: The Legend Continues,2013-12-18,6.139
7447,Cars 2,2011-06-11,6.1
7448,Proof of Life,2000-12-08,6.1
7449,Herbie Rides Again,1974-02-12,6.139
7450,The Card Counter,2021-09-03,6.138
7451,Rifkin’s Festival,2020-10-01,6.1
7452,Under the Skin,2014-03-14,6.137
7453,Session 9,2001-08-10,6.138
7454,World Trade Center,2006-08-09,6.138
7455,Push,2009-02-04,6.137
7456,The One,2001-11-02,6.136
7457,The Midnight Meat Train,2008-08-07,6.136
7458,Hitman,2007-11-21,6.1
7459,TMNT,2007-03-23,6.136
7460,Grown Ups 2,2013-07-11,6.135
7461,Would I Lie to You? 2,2001-02-07,6.135
7462,Street Trash,1987-02-22,6.1
7463,The Death and Life of Bobby Z,2007-07-23,6.1
7464,Shanghai Knights,2003-02-06,6.136
7465,Brightburn,2019-05-09,6.134
7466,Forsaken,2015-09-16,6.1
7467,Ouija: Origin of Evil,2016-10-20,6.1
7468,Dear White People,2014-10-17,6.1
7469,The Woman in Black,2012-02-03,6.134
7470,xXx: Return of Xander Cage,2017-01-13,6.133
7471,Raising Helen,2004-05-27,6.1
7472,Hellhole,2022-10-26,6.133
7473,The Prodigy,2019-02-06,6.133
7474,Careful What You Wish For,2015-05-06,6.133
7475,Happily Mixed Up,2014-10-30,6.1
7476,Trophy Wife,2010-11-10,6.1
7477,Green Card,1990-12-23,6.1
7478,Dagon,2001-10-12,6.1
7479,Them,2006-07-19,6.1
7480,Wrong Cops,2013-12-18,6.132
7481,The Possession of Michael King,2014-08-14,6.131
7482,Pacific Rim: Uprising,2018-03-21,6.131
7483,The Eiger Sanction,1975-05-21,6.1
7484,A Life Less Ordinary,1997-10-24,6.1
7485,The Ladykillers,2004-03-25,6.131
7486,Return,1985-10-31,6.131
7487,Attack on Titan II: End of the World,2015-09-01,6.1
7488,Crossing Over,2009-02-10,6.1
7489,Every Which Way but Loose,1978-12-16,6.13
7490,Cobra,1986-01-01,6.132
7491,V/H/S/94,2021-09-26,6.129
7492,Freaks of Nature,2015-10-30,6.1
7493,Free Willy 3: The Rescue,1997-08-06,6.1
7494,The Perfect Man,2005-06-17,6.1
7495,Star Wars: The Clone Wars,2008-08-05,6.129
7496,CHiPS,2017-03-23,6.128
7497,"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016-02-18,6.128
7498,Ares,2016-11-23,6.127
7499,Expend4bles,2023-09-15,6.129
7500,Ip Man: The Final Fight,2013-03-22,6.126
7501,So Undercover,2012-12-06,6.1
7502,Fired Up!,2009-02-20,6.1
7503,Housesitter,1992-06-12,6.1
7504,John Tucker Must Die,2006-07-27,6.127
7505,Kin,2018-08-29,6.1
7506,The Ledge,2011-05-06,6.1
7507,57 Seconds,2023-09-29,6.121
7508,Geostorm,2017-10-12,6.1
7509,Surrogates,2009-09-24,6.125
7510,Nightbooks,2021-09-15,6.1
7511,Last Night,2010-11-05,6.1
7512,Don't Tell Mom the Babysitter's Dead,1991-06-07,6.1
7513,Captain America: Brave New World,2025-02-12,6.118
7514,Sea Fever,2020-03-06,6.1
7515,Jobs,2013-08-15,6.123
7516,Out for Justice,1991-04-12,6.1
7517,Mission: Impossible II,2000-05-24,6.123
7518,The Kitchen,2019-08-08,6.122
7519,Every Secret Thing,2014-04-20,6.1
7520,Jumpin' Jack Flash,1986-10-09,6.122
7521,Cradle 2 the Grave,2003-02-28,6.1
7522,Rabbit Without Ears,2007-12-01,6.1
7523,Rebels,2019-01-17,6.121
7524,Hounds of Love,2016-10-07,6.1
7525,LOL,2012-02-10,6.121
7526,Sphere,1998-02-13,6.121
7527,The Legend of Zorro,2005-10-24,6.121
7528,Gemma Bovery,2014-09-10,6.12
7529,Once Upon a Time in Bethlehem,2019-12-12,6.1
7530,Wedding Unplanned,2017-04-26,6.1
7531,Divorce French Style,2016-12-07,6.119
7532,God's Not Dead 2,2016-04-01,6.1
7533,Laggies,2014-09-25,6.1
7534,The Brass Teapot,2012-09-08,6.1
7535,Autumn in New York,2000-08-11,6.119
7536,Impostor,2001-12-03,6.1
7537,The Prom,2020-12-02,6.1
7538,Equals,2015-07-15,6.118
7539,The Informant!,2009-09-18,6.118
7540,Maid in Manhattan,2002-12-13,6.118
7541,The 51st State,2001-12-07,6.1
7542,Iron Mask,2019-08-16,6.117
7543,Heist,2015-11-13,6.1
7544,Fallen,2016-11-10,6.1
7545,Jackass Presents: Bad Grandpa,2013-10-22,6.117
7546,The Sorcerer's Apprentice,2010-07-13,6.117
7547,Top Five,2014-12-12,6.116
7548,Zapped,2014-06-27,6.1
7549,Tin Toy,1988-08-01,6.116
7550,The Tale of Despereaux,2008-12-18,6.1
7551,100% Wolf,2020-06-26,6.1
7552,Candy Jar,2018-04-27,6.1
7553,Passengers,2008-09-26,6.115
7554,Wolf,1994-06-17,6.116
7555,Tolo Tolo,2020-01-01,6.1
7556,Daddy or Mommy,2015-02-04,6.114
7557,Blood Ties,2013-08-22,6.114
7558,Grabbers,2012-08-10,6.114
7559,Trouble at Timpetill,2008-12-17,6.1
7560,Death Race 2000,1975-04-30,6.118
7561,Wrong Turn 2: Dead End,2007-08-25,6.112
7562,Conan the Destroyer,1984-06-29,6.115
7563,Above the Law,1988-04-08,6.114
7564,Wheelman,2017-10-20,6.1
7565,The Domestics,2018-06-28,6.1
7566,Jack Ryan: Shadow Recruit,2014-01-15,6.113
7567,Adore,2013-04-03,6.1
7568,Fantozzi Retires,1988-12-22,6.1
7569,Goosebumps 2: Haunted Halloween,2018-10-11,6.1
7570,Maniac Cop,1988-05-13,6.1
7571,Village of the Damned,1995-04-28,6.112
7572,Blades of Glory,2007-03-30,6.1
7573,Runaway Bride,1999-07-30,6.112
7574,Snitch,2013-02-21,6.111
7575,The Worst Week of My Life,2011-10-27,6.1
7576,300: Rise of an Empire,2014-03-05,6.111
7577,BASEketball,1998-07-28,6.111
7578,Final Destination 3,2006-02-09,6.111
7579,Harry and the Hendersons,1987-06-05,6.1
7580,Paranormal Activity: Next of Kin,2021-10-29,6.11
7581,David Brent: Life on the Road,2016-08-19,6.1
7582,The Zero Theorem,2013-09-20,6.1
7583,The Lone Ranger,2013-07-03,6.11
7584,Hereafter,2010-10-22,6.11
7585,The Strangers,2008-05-29,6.11
7586,Orgazmo,1998-07-02,6.11
7587,JUNG_E,2023-01-12,6.109
7588,Home Again,2017-09-07,6.1
7589,Ad Astra,2019-09-17,6.109
7590,The Philadelphia Experiment,1984-10-05,6.1
7591,Cocktail,1988-07-29,6.109
7592,Galveston,2018-10-10,6.1
7593,The Rite,2011-01-28,6.108
7594,Cinderella II: Dreams Come True,2002-02-23,6.108
7595,Men,2022-05-20,6.107
7596,Life of the Party,2018-05-10,6.1
7597,Let It Snow,2019-11-08,6.107
7598,Crimson Rivers II: Angels of the Apocalypse,2004-02-18,6.107
7599,Prom,2011-04-29,6.107
7600,Gothika,2003-11-21,6.107
7601,The Lodge,2020-01-16,6.105
7602,Apostle,2018-09-21,6.106
7603,The November Man,2014-08-27,6.106
7604,Resident Evil: The Final Chapter,2016-12-23,6.106
7605,Didier,1997-01-29,6.106
7606,Renaissance Man,1994-06-03,6.1
7607,The Vanishing,1993-02-05,6.1
7608,Squared Love,2021-02-11,6.105
7609,The Night Before,2015-11-20,6.105
7610,Palo Alto,2013-12-29,6.105
7611,Ain't Them Bodies Saints,2013-07-03,6.1
7612,Chloe,2010-02-25,6.105
7613,Nine 1/2 Weeks,1986-02-09,6.1
7614,Evita,1996-12-14,6.1
7615,Keeping the Faith,2000-04-14,6.105
7616,Attack on Titan,2015-08-01,6.104
7617,Allegiant,2016-03-09,6.104
7618,Tower Heist,2011-11-02,6.104
7619,Heartbreakers,2001-03-23,6.104
7620,Friday the 13th: The Final Chapter,1984-04-13,6.104
7621,Airplane II: The Sequel,1982-12-10,6.104
7622,Original Sin,2001-05-08,6.104
7623,Kindergarten Cop,1990-12-21,6.1
7624,In a Valley of Violence,2016-10-21,6.1
7625,Grudge Match,2013-12-25,6.1
7626,Daylight,1996-12-06,6.1
7627,Haunter,2013-10-17,6.102
7628,Choke,2008-09-26,6.1
7629,Down with Love,2003-05-08,6.102
7630,Marked for Death,1990-10-05,6.1
7631,The Saint,1997-04-03,6.1
7632,Earthquake,1974-11-15,6.1
7633,The New Mutants,2020-04-02,6.1
7634,Happiness Never Comes Alone,2012-06-27,6.1
7635,Under Suspicion,2000-08-24,6.1
7636,Hollywoodland,2006-08-31,6.1
7637,Like a Cat on a Highway 2,2021-08-14,6.099
7638,So I Married an Axe Murderer,1993-07-30,6.099
7639,Next,2007-04-25,6.099
7640,The Lovebirds,2020-05-22,6.098
7641,Final Destination 5,2011-08-12,6.098
7642,ARQ,2016-09-16,6.097
7643,Monster Trucks,2016-12-21,6.1
7644,The Cheetah Girls: One World,2008-08-22,6.1
7645,Asterix and the Vikings,2006-04-12,6.099
7646,Wayne's World 2,1993-12-10,6.097
7647,Ice Age: Collision Course,2016-06-23,6.096
7648,Date Night,2010-04-08,6.096
7649,What Happens in Vegas,2008-05-07,6.096
7650,On the Line,2022-10-31,6.095
7651,A Walk in the Woods,2015-09-02,6.095
7652,3 Days to Kill,2014-02-14,6.095
7653,The Condemned,2007-04-27,6.095
7654,On the Rocks,2020-10-02,6.094
7655,The Remaining,2014-08-25,6.1
7656,Good Burger,1997-07-25,6.094
7657,Overdrive,2017-06-16,6.1
7658,The Nest,2020-05-08,6.092
7659,Kiki: Love to Love,2016-04-01,6.1
7660,Baywatch,2017-05-25,6.092
7661,A Thousand Words,2012-03-07,6.092
7662,Peggy Sue Got Married,1986-10-10,6.092
7663,End of Days,1999-11-24,6.092
7664,Keeping Up with the Joneses,2016-10-20,6.1
7665,V/H/S,2012-07-28,6.091
7666,Rip Tide,2017-10-03,6.09
7667,American Ultra,2015-08-19,6.1
7668,Cuban Fury,2014-02-14,6.1
7669,Dark Shadows,2012-05-09,6.09
7670,Raising Cain,1992-08-07,6.1
7671,The Russia House,1990-12-21,6.1
7672,Evolution,2001-06-08,6.09
7673,Rebel Moon - Part Two: The Scargiver,2024-04-19,6.089
7674,Rememory,2017-09-08,6.089
7675,Ghost in the Shell,2017-03-29,6.089
7676,The SpongeBob Movie: Sponge Out of Water,2015-01-28,6.089
7677,Man of Tai Chi,2013-07-04,6.1
7678,Ninja,2009-10-22,6.1
7679,Problem Child,1990-07-27,6.1
7680,Smoking Causes Coughing,2022-11-30,6.088
7681,Scooby-Doo,2002-06-14,6.088
7682,A Man Apart,2003-04-04,6.1
7683,Lost Girls,2020-01-28,6.087
7684,The Unlikely Prince,2013-02-09,6.087
7685,Nancy Drew,2007-06-15,6.087
7686,Duplex,2003-09-26,6.087
7687,Valhalla Rising,2009-09-04,6.086
7688,Like Mike,2002-07-03,6.086
7689,Faces in the Crowd,2011-10-25,6.085
7690,Going the Distance,2010-08-27,6.1
7691,Sex and the City 2,2010-05-26,6.085
7692,First Knight,1995-07-07,6.1
7693,Wingwomen,2023-11-01,6.084
7694,Bad Trip,2021-03-25,6.084
7695,Devil,2010-09-16,6.085
7696,Bride of Chucky,1998-10-15,6.084
7697,The Scarlet Letter,1995-10-13,6.1
